feature,importance,mean_shap_value
average_cadence,0.7208703,-0.01614396
30d_avg_cadence,0.2610729,0.047026847
distance,0.12276892,-0.046508946
moving_time,0.07859872,0.032037735
days_since_last_run,0.06509122,0.009975882
30d_avg_moving_time,0.056786522,0.0030355258
max_heart_rate,0.053281344,-0.00813338
max_speed,0.050885994,0.0043773022
average_heart_rate,0.04837611,-0.009196195
temperature,0.04489947,-0.002803071
elevation_gain,0.03826995,0.00059401325
30d_avg_distance,0.035570405,0.0002522289
heart_rate_diff,0.035456844,-0.00034994658
7d_avg_moving_time,0.032005727,-0.0016015829
distance_diff,0.022517763,-0.0007097781
week_number,0.022254933,0.0013035086
30d_avg_heart_rate,0.021928357,0.0045276666
hr_t-3,0.021725291,-0.0015992562
7d_total_distance,0.020242807,-0.0023183227
7d_avg_distance,0.02008739,-0.000214941
7d_avg_cadence,0.01971285,-0.0060602836
30d_total_distance,0.016727423,-6.138373e-05
hr_t-4,0.015004638,-0.00015857992
month,0.01329178,0.00031975302
cadence_t-4,0.012941778,-0.00053614564
7d_avg_heart_rate,0.012594316,-0.0057777767
day_of_week,0.012164449,0.00017146861
elapsed_time,0.012066213,0.004482927
average_grade,0.011949988,0.0022498725
cadence_t-1,0.010706814,-0.002810777
hr_t-2,0.010446494,0.001192265
30d_avg_relative_effort,0.00942675,-0.002545487
cadence_t-2,0.009323931,0.0046484936
30d_avg_grade,0.008844,0.00024791228
elevation_loss,0.008779563,-0.00091684004
30d_run_count,0.008135437,0.0011909642
humidity,0.0075132274,0.0020595773
heart_rate_previous,0.0069135143,0.00088586897
7d_avg_relative_effort,0.006058199,-0.0014191364
7d_run_count,0.0056170924,0.0003608815
cadence_t-3,0.005147524,-0.002968887
relative_effort,0.004852243,-0.0011601013
distance_previous,0.0045711356,-0.0011940943
7d_avg_grade,0.0043734824,0.0007273168
pace_t-2_6:29,0.0009462328,-0.0009462328
pace_t-3_8:47,0.00087007455,0.00087007455
"7d_avg_pace_6'02""",0.00079803856,-0.00079803856
"pace_previous_6'29""",0.00077749084,-0.00077749084
"7d_avg_pace_7'29""",0.0007740525,0.0007740525
"7d_avg_pace_6'29""",0.0007542799,-0.0007542799
"7d_avg_pace_7'46""",0.0006935229,0.0006935229
"7d_avg_pace_7'49""",0.0006635881,0.0006635881
"pace_diff_1'55""",0.0006594596,-0.0006594596
hr_t-1,0.0006110335,0.00012455316
pace_t-3_6:06,0.00056526694,-0.00056526694
"7d_avg_pace_6'07""",0.0004806197,-0.0004806197
"30d_avg_pace_5'46""",0.00047071907,-0.00047071907
"30d_avg_pace_8'16""",0.00044835068,0.00044835068
pace_t-2_7:45,0.00041292704,0.00041292704
pace_t-2_6:37,0.00041169787,-0.00041169787
"30d_avg_pace_6'07""",0.00038279637,-0.00038279637
"pace_previous_6'41""",0.0003709068,0.0003709068
"pace_previous_6'55""",0.00036949737,-0.00036949737
"pace_diff_20'50""",0.00036696435,-0.00036696435
"pace_previous_7'26""",0.00036222293,0.00036222293
"pace_previous_7'24""",0.00032687632,-0.00032687632
"30d_avg_pace_5'48""",0.00029404977,-0.00029404977
pace_t-3_6:29,0.00029049796,-0.00029049796
"30d_avg_pace_6'15""",0.0002887996,-0.0002887996
pace_t-2_6:27,0.00028201073,-0.00028201073
"pace_previous_8'32""",0.0002748081,0.0002748081
pace_t-2_7:07,0.00027049586,0.00027049586
pace_t-4_5:57,0.00026309193,-0.00026309193
"pace_diff_-0'11""",0.00024610927,0.00024610927
"30d_avg_pace_6'08""",0.00023540521,-0.00023540521
"pace_previous_5'51""",0.0002338997,-0.0002338997
"7d_avg_pace_6'18""",0.00022785629,-0.00022785629
pace_t-2_6:43,0.00022206162,-0.00022206162
"pace_previous_5'53""",0.00020865466,-0.00020865466
"7d_avg_pace_6'52""",0.00020709507,-0.00020709507
"pace_previous_5'41""",0.00020371674,-0.00020371674
"7d_avg_pace_6'30""",0.00020243299,-0.00020243299
"pace_diff_0'03""",0.00020075665,-0.00019300106
pace_t-3_7:20,0.00019582603,0.00019582603
"7d_avg_pace_6'35""",0.00019211156,-0.00019211156
"7d_avg_pace_7'58""",0.00018860107,0.00018860107
"pace_previous_6'02""",0.00018069804,-0.00018069804
pace_t-2_6:38,0.000178687,-0.000178687
"pace_diff_-0'41""",0.00017845696,0.00017845696
"7d_avg_pace_7'44""",0.00017164726,0.00017164726
pace_t-4_5:41,0.00016755707,-0.00016755707
"7d_avg_pace_6'16""",0.0001597499,-0.0001597499
"pace_previous_5'52""",0.00015957837,-0.00015957837
"pace_diff_-0'08""",0.00015793488,0.00015793488
"pace_previous_8'27""",0.00015736716,0.00015736716
"pace_diff_0'01""",0.00014659842,-0.00014659842
pace_t-2_5:58,0.0001435869,-0.0001435869
"30d_avg_pace_8'56""",0.00014028145,0.00014028145
pace_t-2_5:25,0.00013662924,-0.00013662924
"pace_diff_0'49""",0.00013535794,0.00013535794
"pace_previous_5'58""",0.0001347706,-0.00013231346
pace_t-4_5:49,0.00013242167,-0.00013242167
pace_t-2_8:07,0.00012842983,0.00012842983
pace_t-4_6:53,0.0001279366,-0.0001279366
"pace_previous_7'48""",0.00011889886,0.00011889886
"30d_avg_pace_8'50""",0.00011410097,0.00011410097
"pace_diff_0'09""",0.00011402781,0.00011402781
"30d_avg_pace_7'17""",0.00011200228,-0.00011200228
pace_t-2_6:30,0.00010851291,-0.00010851291
"pace_previous_6'38""",0.00010648442,-9.442375e-05
"30d_avg_pace_8'04""",0.00010616372,0.00010616372
"pace_previous_6'27""",0.00010607482,-0.00010607482
"pace_diff_0'44""",0.00010213653,0.00010213653
"pace_diff_-1'34""",0.00010105741,0.00010105741
"pace_diff_0'55""",9.97073e-05,-9.97073e-05
pace_t-4_5:52,9.876512e-05,-9.876512e-05
"pace_previous_5'55""",9.6672986e-05,-9.6672986e-05
"7d_avg_pace_6'31""",9.5527575e-05,-9.5527575e-05
"pace_previous_5'25""",9.546041e-05,9.546041e-05
"pace_previous_7'37""",9.42653e-05,9.42653e-05
"pace_previous_7'33""",9.268532e-05,9.268532e-05
pace_t-3_7:54,9.0185196e-05,9.0185196e-05
"7d_avg_pace_6'48""",8.634117e-05,-8.634117e-05
"7d_avg_pace_6'34""",8.5117535e-05,-8.5117535e-05
"pace_previous_8'22""",8.485151e-05,8.485151e-05
pace_t-2_7:52,8.403654e-05,8.403654e-05
pace_t-3_6:02,8.384292e-05,-8.384292e-05
"30d_avg_pace_6'18""",8.3300176e-05,-8.3300176e-05
"pace_previous_5'40""",8.214276e-05,8.214276e-05
"30d_avg_pace_7'51""",8.149161e-05,7.9408645e-05
pace_t-4_6:21,8.139284e-05,8.139284e-05
"7d_avg_pace_6'19""",7.896936e-05,-7.896936e-05
pace_t-4_5:54,7.816377e-05,-7.793694e-05
"pace_previous_7'34""",7.74861e-05,7.74861e-05
"pace_diff_-0'15""",7.4937874e-05,7.460935e-05
"7d_avg_pace_5'32""",7.477689e-05,7.477689e-05
"30d_avg_pace_7'11""",7.343328e-05,7.343328e-05
"pace_diff_-0'02""",7.339402e-05,-7.339402e-05
"7d_avg_pace_5'59""",7.321759e-05,-7.321759e-05
"pace_previous_7'52""",7.3006864e-05,7.3006864e-05
"pace_previous_8'31""",7.229663e-05,7.229663e-05
"30d_avg_pace_8'21""",7.056169e-05,7.056169e-05
pace_t-2_7:20,6.6566055e-05,6.6566055e-05
pace_t-4_5:53,6.613236e-05,-6.613236e-05
pace_t-2_5:38,6.440978e-05,-6.440978e-05
"pace_diff_0'11""",6.300408e-05,-6.300408e-05
pace_t-3_7:31,6.2256935e-05,-6.2256935e-05
"30d_avg_pace_5'56""",6.147061e-05,-6.147061e-05
pace_t-4_8:25,6.1387946e-05,6.1387946e-05
"pace_previous_7'45""",5.9401966e-05,5.9401966e-05
"30d_avg_pace_6'04""",5.8633374e-05,-5.8633374e-05
"30d_avg_pace_8'29""",5.762791e-05,5.762791e-05
"7d_avg_pace_6'04""",5.7498684e-05,-5.7498684e-05
pace_t-3_7:38,5.7038542e-05,5.7038542e-05
"pace_previous_8'54""",5.6532375e-05,5.6532375e-05
"30d_avg_pace_6'05""",5.5746645e-05,5.5746645e-05
"30d_avg_pace_5'54""",5.5416585e-05,-5.5416585e-05
pace_t-3_5:25,5.4270688e-05,-4.6742534e-05
pace_t-3_5:06,5.354875e-05,-5.354875e-05
"pace_diff_-1'29""",5.32965e-05,5.32965e-05
"30d_avg_pace_8'12""",5.260398e-05,5.260398e-05
"pace_previous_5'57""",5.2340678e-05,-5.2340678e-05
"7d_avg_pace_5'55""",5.2192918e-05,-5.2192918e-05
"7d_avg_pace_6'06""",5.2176307e-05,-5.2176307e-05
"pace_previous_8'49""",5.1748095e-05,5.1748095e-05
"7d_avg_pace_5'49""",5.123632e-05,-5.123632e-05
"30d_avg_pace_7'47""",5.0861236e-05,5.0861236e-05
pace_t-2_8:47,4.9249007e-05,4.9249007e-05
"pace_previous_7'54""",4.829089e-05,4.829089e-05
pace_t-1_6:29,4.6313773e-05,-4.6313773e-05
"pace_diff_-0'12""",4.5943863e-05,-4.5943863e-05
"pace_previous_5'00""",4.4402706e-05,-4.4402706e-05
"30d_avg_pace_8'25""",4.3588338e-05,4.3588338e-05
pace_t-1_8:32,4.311334e-05,4.311334e-05
pace_t-4_6:43,4.2763088e-05,-4.2763088e-05
"pace_diff_0'38""",4.261211e-05,-4.261211e-05
"7d_avg_pace_5'44""",4.218876e-05,-4.2184878e-05
"pace_diff_0'13""",4.2121603e-05,-4.2121603e-05
pace_t-4_6:02,4.1716085e-05,-4.1716085e-05
pace_t-2_6:21,4.1563548e-05,-4.1563548e-05
pace_t-3_8:22,4.0519004e-05,3.9104227e-05
pace_t-4_6:23,3.9857026e-05,-3.9857026e-05
"pace_previous_6'21""",3.8966416e-05,3.460879e-05
"pace_previous_9'02""",3.8781982e-05,3.85916e-05
"pace_diff_0'20""",3.8716724e-05,-3.8716724e-05
"pace_previous_7'56""",3.8707265e-05,3.8707265e-05
pace_t-2_6:06,3.8057708e-05,-3.3391676e-05
pace_t-3_7:44,3.7135884e-05,3.6314705e-05
pace_t-4_6:14,3.604313e-05,-3.604313e-05
pace_t-4_7:33,3.5315203e-05,3.5315203e-05
pace_t-3_6:13,3.503885e-05,-3.503885e-05
"pace_previous_6'36""",3.465766e-05,-1.2524325e-06
"7d_avg_pace_7'00""",3.4653945e-05,-3.4653945e-05
pace_t-2_7:33,3.399e-05,1.2097653e-05
"7d_avg_pace_8'31""",3.3227425e-05,3.3227425e-05
"7d_avg_pace_6'46""",3.3180408e-05,-3.3180408e-05
pace_t-1_6:55,3.291231e-05,-3.291231e-05
"pace_diff_-1'03""",3.277158e-05,3.277158e-05
pace_t-3_7:45,3.250919e-05,3.250919e-05
pace_t-4_5:55,3.2395736e-05,-3.2395736e-05
"pace_previous_7'40""",3.214436e-05,3.214436e-05
"pace_previous_6'04""",3.1846783e-05,-3.1846783e-05
pace_t-4_6:38,3.121561e-05,-3.121561e-05
"pace_diff_0'19""",3.1096726e-05,-1.1524829e-05
"30d_avg_pace_8'41""",3.0173662e-05,3.0173662e-05
pace_t-3_6:01,3.0073015e-05,-3.0073015e-05
pace_t-3_6:43,2.9532799e-05,-2.9532799e-05
"pace_previous_8'17""",2.8338945e-05,2.8338945e-05
"30d_avg_pace_8'18""",2.8209974e-05,-2.8209974e-05
"pace_diff_2'12""",2.8138384e-05,2.8138384e-05
pace_t-3_5:37,2.7943963e-05,-2.7943963e-05
"30d_avg_pace_5'53""",2.771169e-05,2.771169e-05
"pace_previous_7'25""",2.6965634e-05,-2.6965634e-05
"30d_avg_pace_5'38""",2.6760405e-05,-2.6760405e-05
"30d_avg_pace_7'58""",2.6239848e-05,2.6239848e-05
pace_t-3_5:41,2.4559042e-05,-2.4559042e-05
"30d_avg_pace_6'13""",2.4274423e-05,-2.4274423e-05
"pace_previous_7'42""",2.3897317e-05,2.3897317e-05
pace_t-4_7:35,2.3616598e-05,2.3616598e-05
"pace_diff_0'04""",2.266023e-05,-2.266023e-05
"30d_avg_pace_8'08""",2.2543027e-05,2.2543027e-05
"pace_previous_8'24""",2.1486987e-05,2.1486987e-05
"7d_avg_pace_5'51""",2.1166783e-05,-2.1166783e-05
pace_t-2_6:44,2.1020462e-05,-2.1020462e-05
pace_t-1_7:24,2.0917354e-05,-2.0917354e-05
pace_t-4_7:46,2.074231e-05,-2.074231e-05
"7d_avg_pace_8'44""",2.0515961e-05,2.0515961e-05
"pace_diff_0'50""",2.020124e-05,2.020124e-05
"pace_diff_1'42""",1.9993522e-05,-1.9993522e-05
pace_t-4_8:22,1.9883935e-05,-1.9883935e-05
"7d_avg_pace_5'54""",1.9365314e-05,-1.9365314e-05
"7d_avg_pace_5'43""",1.9244018e-05,-1.9244018e-05
"pace_previous_6'43""",1.9005854e-05,-1.7325305e-05
"pace_previous_4'45""",1.859624e-05,-1.859624e-05
pace_t-3_6:07,1.8558863e-05,-1.8558863e-05
"pace_diff_1'15""",1.8410507e-05,-1.8410507e-05
"pace_previous_7'16""",1.8386707e-05,-1.8386707e-05
pace_t-2_6:04,1.8255849e-05,-1.8255849e-05
"pace_diff_-0'13""",1.8187462e-05,1.8187462e-05
pace_t-3_6:04,1.7629782e-05,-1.7629782e-05
"pace_previous_7'12""",1.7524226e-05,1.7524226e-05
"pace_previous_7'51""",1.748249e-05,1.748249e-05
"7d_avg_pace_5'39""",1.7392127e-05,1.7392127e-05
"pace_diff_-0'01""",1.6993268e-05,1.6993268e-05
"pace_previous_7'53""",1.6974222e-05,1.6974222e-05
"pace_previous_5'22""",1.6918428e-05,-1.6918428e-05
pace_t-2_7:35,1.6852475e-05,1.6852475e-05
"pace_previous_7'46""",1.603591e-05,1.603591e-05
"pace_diff_0'48""",1.5930726e-05,-1.5930726e-05
"pace_previous_5'44""",1.5854053e-05,-1.5854053e-05
pace_t-3_6:21,1.578239e-05,-1.578239e-05
"pace_previous_9'57""",1.5675982e-05,1.5675982e-05
pace_t-2_6:53,1.5343288e-05,-1.5343288e-05
pace_t-4_5:45,1.5313968e-05,1.5313968e-05
"pace_diff_0'08""",1.5252979e-05,-1.5252979e-05
"pace_diff_0'05""",1.5067062e-05,-1.5067062e-05
pace_t-1_7:34,1.477543e-05,1.477543e-05
pace_t-2_6:36,1.4707577e-05,1.4707577e-05
"30d_avg_pace_5'51""",1.3980022e-05,1.3980022e-05
pace_t-4_5:32,1.3972786e-05,-1.3972786e-05
"pace_diff_-0'54""",1.393561e-05,1.393561e-05
"30d_avg_pace_7'14""",1.3916892e-05,-1.6059535e-06
"pace_diff_-0'22""",1.3870053e-05,1.3870053e-05
pace_t-4_5:56,1.3851391e-05,1.3851391e-05
"7d_avg_pace_6'23""",1.3640548e-05,1.3640548e-05
"7d_avg_pace_7'38""",1.3296604e-05,1.3296604e-05
"pace_previous_8'20""",1.3063772e-05,-1.3063772e-05
pace_t-2_6:58,1.2928236e-05,-1.2928236e-05
"30d_avg_pace_5'35""",1.2865014e-05,1.2865014e-05
"pace_previous_6'05""",1.2787081e-05,-1.2787081e-05
"pace_previous_10'52""",1.2745144e-05,-1.2745144e-05
"pace_previous_5'49""",1.2616788e-05,-1.2616788e-05
pace_t-2_5:46,1.2517822e-05,1.2517822e-05
pace_t-2_5:55,1.2361143e-05,1.2361143e-05
pace_t-2_5:51,1.2294724e-05,1.2294724e-05
"pace_previous_7'15""",1.2044772e-05,-1.2044772e-05
pace_t-3_5:38,1.1909167e-05,-1.0914677e-05
pace_t-4_5:34,1.1863412e-05,-1.1863412e-05
pace_t-4_6:52,1.1646139e-05,1.1646139e-05
pace_t-4_6:35,1.1300069e-05,1.1300069e-05
"pace_previous_7'20""",1.129744e-05,-1.129744e-05
"7d_avg_pace_7'15""",1.1290751e-05,1.1290751e-05
pace_t-3_6:08,1.12720045e-05,-1.12720045e-05
pace_t-4_5:58,1.1205641e-05,1.1205641e-05
"pace_previous_5'34""",1.1129709e-05,-1.1129709e-05
"30d_avg_pace_5'52""",1.1089269e-05,-3.4232065e-07
pace_t-2_6:07,1.1024442e-05,-1.1024442e-05
pace_t-2_8:22,1.0773255e-05,-1.0773255e-05
"pace_diff_-0'46""",1.0592896e-05,-1.0592896e-05
pace_t-3_7:57,1.0430061e-05,1.0430061e-05
"7d_avg_pace_5'46""",1.0391287e-05,-1.0391287e-05
"pace_previous_4'53""",1.0226387e-05,-1.0226387e-05
pace_t-4_7:47,1.0200569e-05,-1.0200569e-05
"pace_diff_1'30""",1.0161856e-05,1.0161856e-05
"7d_avg_pace_6'39""",1.01407095e-05,-1.01407095e-05
"pace_previous_5'30""",9.930714e-06,-7.362953e-06
"pace_previous_5'54""",9.567763e-06,-9.567763e-06
pace_t-4_5:51,9.539695e-06,9.539695e-06
"pace_previous_6'06""",9.346923e-06,-9.346923e-06
pace_t-3_5:36,9.334725e-06,9.334725e-06
pace_t-4_5:44,9.13283e-06,-9.13283e-06
pace_t-3_8:10,9.068552e-06,-9.068552e-06
"30d_avg_pace_5'49""",8.938037e-06,-8.938037e-06
"pace_previous_7'19""",8.935953e-06,-8.935953e-06
"7d_avg_pace_8'36""",8.898483e-06,8.898483e-06
